Cluster	Sample	Cov_ter	Ptr	Diff
api_1	F01	0	NA	NA
api_1	F02	0	NA	NA
api_1	F03	0	NA	NA
api_1	F04	0	NA	NA
api_1	F06	0	NA	NA
api_1	F07	0	NA	NA
api_1	F08	0	NA	NA
api_1	F09	0	NA	NA
api_1	F10	0	NA	NA
api_1	F11	3.13	NA	NA
api_1	F12	0	NA	NA
api_1	F13	0	NA	NA
api_1	F14	0	NA	NA
api_1	F15	0	NA	NA
api_1	F16	0	NA	NA
api_1	N01	0	NA	NA
api_1	N02	0	NA	NA
api_1	N03	0	NA	NA
api_1	N04	0	NA	NA
api_1	N06	0	NA	NA
api_1	N07	0	NA	NA
api_1	N08	0	NA	NA
api_1	N09	0	NA	NA
api_1	N10	0	NA	NA
api_1	N11	0	NA	NA
api_1	N12	0	NA	NA
api_1	N13	0	NA	NA
api_1	N14	0	NA	NA
api_1	N15	0	NA	NA
api_1	N16	0	NA	NA
api_apis_dorsa	F01	0	NA	NA
api_apis_dorsa	F02	0	NA	NA
api_apis_dorsa	F03	0	NA	NA
api_apis_dorsa	F04	0	NA	NA
api_apis_dorsa	F06	0	NA	NA
api_apis_dorsa	F07	0	NA	NA
api_apis_dorsa	F08	0	NA	NA
api_apis_dorsa	F09	0	NA	NA
api_apis_dorsa	F10	0	NA	NA
api_apis_dorsa	F11	0	NA	NA
api_apis_dorsa	F12	0	NA	NA
api_apis_dorsa	F13	0	NA	NA
api_apis_dorsa	F14	0	NA	NA
api_apis_dorsa	F15	0	NA	NA
api_apis_dorsa	F16	0	NA	NA
api_apis_dorsa	N01	0	NA	NA
api_apis_dorsa	N02	0	NA	NA
api_apis_dorsa	N03	0	NA	NA
api_apis_dorsa	N04	0	NA	NA
api_apis_dorsa	N06	0	NA	NA
api_apis_dorsa	N07	0	NA	NA
api_apis_dorsa	N08	0	NA	NA
api_apis_dorsa	N09	0	NA	NA
api_apis_dorsa	N10	0	NA	NA
api_apis_dorsa	N11	0	NA	NA
api_apis_dorsa	N12	0	NA	NA
api_apis_dorsa	N13	0	NA	NA
api_apis_dorsa	N14	0	NA	NA
api_apis_dorsa	N15	0	NA	NA
api_apis_dorsa	N16	0	NA	NA
api_bombus	F01	0	NA	NA
api_bombus	F02	0	NA	NA
api_bombus	F03	0	NA	NA
api_bombus	F04	0	NA	NA
api_bombus	F06	0	NA	NA
api_bombus	F07	0	NA	NA
api_bombus	F08	0	NA	NA
api_bombus	F09	0	NA	NA
api_bombus	F10	0	NA	NA
api_bombus	F11	0	NA	NA
api_bombus	F12	0	NA	NA
api_bombus	F13	0	NA	NA
api_bombus	F14	0	NA	NA
api_bombus	F15	0	NA	NA
api_bombus	F16	0	NA	NA
api_bombus	N01	0	NA	NA
api_bombus	N02	0	NA	NA
api_bombus	N03	0	NA	NA
api_bombus	N04	0	NA	NA
api_bombus	N06	0	NA	NA
api_bombus	N07	0	NA	NA
api_bombus	N08	0	NA	NA
api_bombus	N09	0	NA	NA
api_bombus	N10	0	NA	NA
api_bombus	N11	0	NA	NA
api_bombus	N12	0	NA	NA
api_bombus	N13	0	NA	NA
api_bombus	N14	0	NA	NA
api_bombus	N15	0	NA	NA
api_bombus	N16	0	NA	NA
