Cluster	Sample	Cov_ter	Ptr	Diff
bifido_1_cerana	F01	0	NA	NA
bifido_1_cerana	F02	0	NA	NA
bifido_1_cerana	F03	0	NA	NA
bifido_1_cerana	F04	0	NA	NA
bifido_1_cerana	F06	0	NA	NA
bifido_1_cerana	F07	0	NA	NA
bifido_1_cerana	F08	0	NA	NA
bifido_1_cerana	F09	0	NA	NA
bifido_1_cerana	F10	0	NA	NA
bifido_1_cerana	F11	0	NA	NA
bifido_1_cerana	F12	0	NA	NA
bifido_1_cerana	F13	0	NA	NA
bifido_1_cerana	F14	0	NA	NA
bifido_1_cerana	F15	0	NA	NA
bifido_1_cerana	F16	0	NA	NA
bifido_1_cerana	N01	0	NA	NA
bifido_1_cerana	N02	0	NA	NA
bifido_1_cerana	N03	0	NA	NA
bifido_1_cerana	N04	0	NA	NA
bifido_1_cerana	N06	0	NA	NA
bifido_1_cerana	N07	0	NA	NA
bifido_1_cerana	N08	0	NA	NA
bifido_1_cerana	N09	0	NA	NA
bifido_1_cerana	N10	0	NA	NA
bifido_1_cerana	N11	0	NA	NA
bifido_1_cerana	N12	0	NA	NA
bifido_1_cerana	N13	0	NA	NA
bifido_1_cerana	N14	0	NA	NA
bifido_1_cerana	N15	0	NA	NA
bifido_1_cerana	N16	0	NA	NA
bifido_1.1	F01	94.44	NA	NA
bifido_1.1	F02	140.79	NA	NA
bifido_1.1	F03	64.84	NA	NA
bifido_1.1	F04	71.19	NA	NA
bifido_1.1	F06	98.44	NA	NA
bifido_1.1	F07	78.25	NA	NA
bifido_1.1	F08	128.08	NA	NA
bifido_1.1	F09	86.19	NA	NA
bifido_1.1	F10	109.84	NA	NA
bifido_1.1	F11	64.64	NA	NA
bifido_1.1	F12	87.88	NA	NA
bifido_1.1	F13	47.27	NA	NA
bifido_1.1	F14	41.19	NA	NA
bifido_1.1	F15	47.92	NA	NA
bifido_1.1	F16	33.64	NA	NA
bifido_1.1	N01	102.06	NA	NA
bifido_1.1	N02	89.38	NA	NA
bifido_1.1	N03	104.79	NA	NA
bifido_1.1	N04	90.65	NA	NA
bifido_1.1	N06	82.03	NA	NA
bifido_1.1	N07	51.47	NA	NA
bifido_1.1	N08	60.07	NA	NA
bifido_1.1	N09	83.32	NA	NA
bifido_1.1	N10	129.28	NA	NA
bifido_1.1	N11	84.97	NA	NA
bifido_1.1	N12	55.63	NA	NA
bifido_1.1	N13	113.92	NA	NA
bifido_1.1	N14	81.36	NA	NA
bifido_1.1	N15	64.6	NA	NA
