Cluster	Sample	Cov_ter	Ptr	Diff
bom_1	F01	0	NA	NA
bom_1	F02	0	NA	NA
bom_1	F03	0	NA	NA
bom_1	F04	0	NA	NA
bom_1	F06	0	NA	NA
bom_1	F07	0	NA	NA
bom_1	F08	0	NA	NA
bom_1	F09	0	NA	NA
bom_1	F10	0	NA	NA
bom_1	F11	0	NA	NA
bom_1	F12	0	NA	NA
bom_1	F13	0	NA	NA
bom_1	F14	0	NA	NA
bom_1	F15	0	NA	NA
bom_1	F16	0	NA	NA
bom_1	N01	0	NA	NA
bom_1	N02	0	NA	NA
bom_1	N03	0	NA	NA
bom_1	N04	0	NA	NA
bom_1	N06	0	NA	NA
bom_1	N07	0	NA	NA
bom_1	N08	0	NA	NA
bom_1	N09	0	NA	NA
bom_1	N10	0	NA	NA
bom_1	N11	0	NA	NA
bom_1	N12	0	NA	NA
bom_1	N13	0	NA	NA
bom_1	N14	0	NA	NA
bom_1	N15	0	NA	NA
bom_1	N16	0	NA	NA
bom_apis_melli	F01	0	NA	NA
bom_apis_melli	F02	0	NA	NA
bom_apis_melli	F03	0	NA	NA
bom_apis_melli	F04	0	NA	NA
bom_apis_melli	F06	0	NA	NA
bom_apis_melli	F07	0	NA	NA
bom_apis_melli	F08	0	NA	NA
bom_apis_melli	F09	0	NA	NA
bom_apis_melli	F10	0	NA	NA
bom_apis_melli	F11	0	NA	NA
bom_apis_melli	F12	0	NA	NA
bom_apis_melli	F13	0	NA	NA
bom_apis_melli	F14	0	NA	NA
bom_apis_melli	F15	0	NA	NA
bom_apis_melli	F16	0	NA	NA
bom_apis_melli	N01	0	NA	NA
bom_apis_melli	N02	0	NA	NA
bom_apis_melli	N03	0	NA	NA
bom_apis_melli	N04	0	NA	NA
bom_apis_melli	N06	0	NA	NA
bom_apis_melli	N07	0	NA	NA
bom_apis_melli	N08	0	NA	NA
bom_apis_melli	N09	0	NA	NA
bom_apis_melli	N10	0	NA	NA
bom_apis_melli	N11	0	NA	NA
bom_apis_melli	N12	0	NA	NA
bom_apis_melli	N13	0	NA	NA
bom_apis_melli	N14	0	NA	NA
bom_apis_melli	N15	0	NA	NA
bom_apis_melli	N16	0	NA	NA
bom_bombus	F01	2.89	NA	NA
bom_bombus	F02	1.635	NA	NA
bom_bombus	F03	7.71	NA	NA
bom_bombus	F04	0	NA	NA
bom_bombus	F06	0	NA	NA
bom_bombus	F07	0	NA	NA
bom_bombus	F08	0	NA	NA
bom_bombus	F09	0	NA	NA
bom_bombus	F10	0	NA	NA
bom_bombus	F11	0	NA	NA
bom_bombus	F12	0	NA	NA
bom_bombus	F13	0	NA	NA
bom_bombus	F14	0	NA	NA
bom_bombus	F15	0	NA	NA
bom_bombus	F16	0	NA	NA
bom_bombus	N01	0	NA	NA
bom_bombus	N02	0	NA	NA
bom_bombus	N03	0	NA	NA
bom_bombus	N04	0	NA	NA
bom_bombus	N06	0	NA	NA
bom_bombus	N07	0	NA	NA
bom_bombus	N08	0	NA	NA
bom_bombus	N09	0	NA	NA
bom_bombus	N10	0	NA	NA
bom_bombus	N11	0	NA	NA
bom_bombus	N12	0	NA	NA
bom_bombus	N13	0	NA	NA
bom_bombus	N14	0	NA	NA
bom_bombus	N15	0	NA	NA
bom_bombus	N16	0	NA	NA
