Cluster	Sample	Cov_ter	Ptr	Diff
lkun	F01	10.5640924823806	1.25841382231105	0.942863712400001
lkun	F02	6.69526193185513	1.19223117500771	1.197822704266
lkun	F03	7.02970222453568	1.2223277353071	1.29956272778
lkun	F04	0	NA	NA
lkun	F06	7.72501513261127	1.17222956141174	0.0844911008000011
lkun	F07	3.26054423520813	1.29042874332647	0.346567858759999
lkun	F08	0	NA	NA
lkun	F09	0	NA	NA
lkun	F10	0	NA	NA
lkun	F11	2.94968970216264	1.36193986677806	0.0909918425999994
lkun	F12	0	NA	NA
lkun	F13	2.30043557114311	1.25943094513198	0.0996397455800002
lkun	F14	0	NA	NA
lkun	F15	0	NA	NA
lkun	F16	0	NA	NA
lkun	N01	2.40825355759233	1.16300046196137	0.22771899188
lkun	N02	1.64602773299907	1.33217682548076	0.2103166446
lkun	N03	3.64	NA	NA
lkun	N04	6.1913927125761	1.19541762953694	0.0722480887999994
lkun	N06	6.48696579062585	1.16820409488685	0.3303816896
lkun	N07	3.58383317815787	1.24553788586065	0.1488560313
lkun	N08	0	NA	NA
lkun	N09	0	NA	NA
lkun	N10	0	NA	NA
lkun	N11	0	NA	NA
lkun	N12	0	NA	NA
lkun	N13	0	NA	NA
lkun	N14	0	NA	NA
lkun	N15	0	NA	NA
lkun	N16	0	NA	NA
