Sample,motu,rel_ab,Present,Prevalence_num,Prevalence,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sample_type,Collection_date,Location,Hive_origin,Number_guts,Number_scabs,Tube_mass,Tube_gut_mass,Gut_mass,Average_gut_mass,RNA_concentration,DNA_concentration,delta_CT,Comments,volume for 300 ng RNA (ul),V17,DNA_yield,RNA_yield,unmapped_perc
F01,ref_mOTU_v3_05086,0.0296507623,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,ref_mOTU_v3_07783,0.2649675076,1,31,1,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,Spiroplasma,s__Spiroplasma apis,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,ref_mOTU_v3_08304,0.042793292,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,ext_mOTU_v3_16147,0.0192209765,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,ext_mOTU_v3_16148,0.120959249,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,ext_mOTU_v3_16155,0.4752715459,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F01,unassigned,0.0375331451,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,25.06.19,UNIL,Tom 4,20,12,2.1468,2.3307,0.1839,0.009195,241.8,78,7.074512,,1.241,NA,4680,14508,12 %
F02,ref_mOTU_v3_02543,0.037381671,1,31,1,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,Spiroplasma,s__Spiroplasma citri/melliferum,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
F02,ref_mOTU_v3_05086,0.055939112,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
F02,ref_mOTU_v3_08304,0.070549787,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
