Locus_tag	Strain_name	Phylotype	SDP	Ref
C4S75	wkB309	Apibacter	api_1	No
Ga0307799	ESL0404	Apibacter	api_1	No
Ga0312307	ESL0432	Apibacter	api_1	Yes
C4S76	wkB180	Apibacter	api_apis_dorsa	Yes
C4S77	wkB301	Apibacter	api_apis_dorsa	No
Ga0061079	R-53146	Apibacter	api_bombus	Yes
BBC0122	BBC0122	Bartonella	bapis	Yes
BBC0178	BBC0178	Bartonella	bapis	No
BBC0244	BBC0244	Bartonella	bapis	No
H3S82	M0192	Bartonella	bapis	No
H3S80	M0177	Bartonella	bapis	No
H3S83	W8122	Bartonella	bapis	No
H3S84	W8098	Bartonella	bapis	No
H3S85	M0187	Bartonella	bapis	No
H3S89	B10834G6	Bartonella	bapis	No
H3S90	W8097	Bartonella	bapis	No
H3S98	B10834H15	Bartonella	bapis	No
H3U94	W8125	Bartonella	bapis	No
H3V12	W8167	Bartonella	bapis	No
H3V13	M0280	Bartonella	bapis	No
H3V16	W8099	Bartonella	bapis	No
H3V17	M0283	Bartonella	bapis	No
PEB0122	PEB0122	Bartonella	bapis	No
PEB0149	PEB0149	Bartonella	bapis	No
PEB0150	PEB0150	Bartonella	bapis	No
Ga0098206	DSM 22766	Bifido	bifido_bombus	No
Ga0056940	DSM 19703	Bifido	bifido_bombus	No
Ga0057557	DSM 22767	Bifido	bifido_bombus	No
Ga0133549	ESL0170	Bifido	bifido_1.3	No
Ga0133551	ESL0198	Bifido	bifido_1.4	No
Ga0133552	ESL0199	Bifido	bifido_1.4	No
Ga0133553	ESL0200	Bifido	bifido_1.5	Yes
Ga0072395	Bin2	Bifido	bifido_1.1	No
Ga0072396	Bin7	Bifido	bifido_1.2	
Ga0072401	Hma3	Bifido	bifido_1.4	No
BAST	PRL2011	Bifido	bifido_1.3	Yes
Ga0312305	ESL0447	Bifido	bifido_1_cerana	Yes
H3S92	W8130	Bifido	bifido_1.3	No
H3S93	W8109	Bifido	bifido_1.3	No
H3T89	W8114	Bifido	bifido_1.3	No
H3S97	B14384H11	Bifido	bifido_1.2	No
H3T81	M0109	Bifido	bifido_1.1	No
H3T86	W8113	Bifido	bifido_1.2	No
H3T90	W8117	Bifido	bifido_1.4	No
H3T91	B14448H7	Bifido	bifido_1.4	Yes
H3T92	W8112	Bifido	bifido_1.1	Yes
H3T93	M0404	Bifido	bifido_1.4	No
H3U87	W8101	Bifido	bifido_1.2	No
H3U88	W8120	Bifido	bifido_1.1	No
H3U89	W8104	Bifido	bifido_1.2	Yes
H3U98	W8116	Bifido	bifido_1.2	No
H3V04	M0353	Bifido	bifido_1.2	No
H3V06	W6238G3	Bifido	bifido_1.4	No
Ga0133550	ESL0197	Bifido	bifido_2	No
Ga0072398	Bma6	Bifido	bifido_2	No
BINDI	LMG 11587	Bifido	bifido_2	Yes
BCOR	LMG 18911	Bifido	bifido_2	No
H3V08	M0307	Bifido	bifido_2	No
Ga0372762	ESL_0368	Bombella	bom_1	Yes
Ga0216357	ESL_0385	Bombella	bom_apis_melli	Yes
Ga0308518	R-52487	Bombella	bom_bombus	Yes
D9V35	AMU001	Commensalibacter	com_1	Yes
H3T57	W6292M3	Commensalibacter	com_1	No
CIN	A911	Commensalibacter	com_drosophila	Yes
Ga0248239	MX01	Commensalibacter	com_monarch	Yes
Ga0070888	Hon2	Firm4	firm4_1	No
Ga0227357	ESL0294	Firm4	firm4_1	No
Ga0227358	ESL0295	Firm4	firm4_1	No
Ga0227360	ESL0394	Firm4	firm4_1	No
Ga0326456	ESL0449	Firm4	firm4_1	Yes
H3T38	W8088	Firm4	firm4_1	No
Ga0072399	Bin4	Firm4	firm4_2	Yes
H3R26	W8092	Firm4	firm4_2	No
Ga0061072	R-53102	Firm5	firm5_bombus_2	No
Ga0133563	ESL0185	Firm5	firm5_1	Yes
Ga0061073	LMG 26964	Firm5	firm5_1	No
Ga0072402	ESL0353	Firm5	firm5_1	No
Ga0226842	ESL0263	Firm5	firm5_1	No
H3R21	W8172	Firm5	firm5_1	No
H3R25	M0390	Firm5	firm5_1	No
H3T48	M0403	Firm5	firm5_1	No
Ga0133561	ESL0183	Firm5	firm5_2	Yes
Ga0072400	ESL0354	Firm5	firm5_2	No
LACWKB8	wkB8	Firm5	firm5_2	No
H3T47	W8093	Firm5	firm5_2	No
Ga0133562	ESL0184	Firm5	firm5_3	Yes
Ga0072404	ESL0350	Firm5	firm5_3	No
Ga0225908	ESL0259	Firm5	firm5_3	No
Ga0226840	ESL0260	Firm5	firm5_3	No
Ga0227359	ESL0393	Firm5	firm5_3	No
H3R22	W8171	Firm5	firm5_3	No
Ga0072403	ESL0352	Firm5	firm5_4	No
Ga0070887	ESL0351	Firm5	firm5_4	No
LACWKB10	wkB10	Firm5	firm5_4	No
Ga0226839	ESL0261	Firm5	firm5_4	No
Ga0133564	ESL0186	Firm5	firm5_4	Yes
H3T43	M0396	Firm5	firm5_4	No
H3U49	W8174	Firm5	firm5_4	No
Ga0226852	ESL0228	Firm5	firm5_bombus_1	Yes
Ga0226843	ESL0233	Firm5	firm5_bombus_2	No
Ga0226847	ESL0230	Firm5	firm5_bombus_2	Yes
Ga0307804	ESL0409	Firm5	firm5_7	No
Ga0311394	ESL0411	Firm5	firm5_7	No
Ga0312303	ESL0413	Firm5	firm5_7	Yes
Ga0312304	ESL0416	Firm5	firm5_7	No
Ga0077910	ESL0034	Frischella	fper_1	Yes
Ga0133554	ESL0167	Frischella	fper_1	No
Ga0418777	Fper_2	Frischella	fper_2	Yes
Ga0133559	ESL0178	Gilliamella	gilli_1	No
GAPWK	wkB1	Gilliamella	gilli_1	Yes
B6D22	AM4	Gilliamella	gilli_1	No
