"SDP"	"pvalue-Host"	"pvalue-Location"	"R2-Host"	"R2-Location"	"Type"
"bapis"	0.086	0.001	0.0375916739280345	0.300586135473131	"Gilles_KE"
"bifido_1.1"	0.001	0.001	0.0342143878792269	0.0693074074069786	"Gilles_KE"
"bifido_1.2"	0.001	0.001	0.125710387359786	0.0878150694452967	"Gilles_KE"
"bifido_1.3"	0.003	0.019	0.0439981981784268	0.0834168857607432	"Gilles_KE"
"bifido_1.4"	0.001	0.001	0.0427024437746833	0.082738680720514	"Gilles_KE"
"bifido_1.5"	0.018	0.007	0.0532447323860032	0.0923166754015346	"Gilles_KE"
"bifido_2"	0.15	0.003	0.00574348749389527	0.0435066601951895	"Gilles_KE"
"firm4_1"	0.019	0.001	0.0120359827038677	0.0525963404949511	"Gilles_KE"
"firm4_2"	0.492	0.001	-0.000623670832296668	0.0950959619211522	"Gilles_KE"
"firm5_1"	0.019	0.001	0.0240068570975944	0.126876613459461	"Gilles_KE"
"firm5_2"	0.098	0.001	0.0163394134731795	0.14569335480362	"Gilles_KE"
"firm5_3"	0.001	0.001	0.071560204946221	0.175959783794684	"Gilles_KE"
"firm5_4"	0.003	0.001	0.0460807642841285	0.14209123792577	"Gilles_KE"
"fper_1"	0.071	0.001	0.00838426703802342	0.0796175244772183	"Gilles_KE"
"gilli_1"	0.009	0.002	0.0505927375592359	0.11370726240125	"Gilles_KE"
"gilli_2"	0.005	0.052	0.124779024058348	0.086323697245354	"Gilles_KE"
"snod_1"	0.001	0.003	0.162775900892321	0.0876382883201189	"Gilles_KE"
