,SDP,p,q,Phylo
1,bapis,0.0400932400932401,0.121615966364656,bapis
2,bifido_1.1,0.455151399500309,0.460207898419836,bifido
3,bifido_1.2,0.000811944389767295,0.00361258735061045,bifido
4,bifido_1.3,0.660111293604275,0.533955833573336,bifido
5,bifido_1.4,0.344798039086131,0.413109681049533,bifido
6,bifido_1.5,1,0.71372434432883,bifido
7,bifido_2,0.841042018961172,0.637789173757062,bifido
8,firm4_1,0.182822791365247,0.288321696750424,firm4
9,firm4_2,0.190102522842175,0.288321696750424,firm4
10,firm5_1,0.299489433585096,0.403755477057989,firm5
11,firm5_2,0.600334228054689,0.523470650294011,firm5
12,firm5_3,0.374523114326288,0.413109681049533,firm5
13,firm5_4,0.604005566207924,0.523470650294011,firm5
14,fper_1,0.177212126048575,0.288321696750424,fper
15,gilli_1,0.076987996481292,0.186823904853322,gilli
16,gilli_2,0.000142891164562991,0.00173374334654777,gilli
17,snod_1,0.000893223581175605,0.00361258735061045,snod
