Strain_id	new_id	Tot_length_filt(bp)	Tot_length(bp)	genome_length	core_genome_percent	core_genome_filt_percent
api_1	Ga0312307	1432329	1441366	2314355.0	62.27938237651527	61.88890641236975
api_apis_dorsa	C4S76	1435123	1437496	2625614.0	54.748946341693795	54.6585674817395
api_bombus	Ga0061079	1436896	1436896	2331098.0	61.64030855845615	61.64030855845615
bapis	BBC0122	1379313	1717807	2907212.0	59.0877789442256	47.444527609269635
bifido_1.1	H3T92	714855	769503	2062077.0	37.31688971847317	34.66674619812936
bifido_1.2	H3U89	636765	771740	2096488.0	36.811085968534044	30.372937980088604
bifido_1.3	BAST	713079	774203	2167304.0	35.72193840827129	32.90166031161295
bifido_1.4	H3T91	622065	770849	2239218.0	34.42491977109866	27.780457284641336
bifido_1.5	Ga0133553	768600	776922	1933421.0	40.18379856223761	39.75336980409337
bifido_2	BINDI	776689	780171	1734546.0	44.97839780553528	44.77765363386154
bom_1	Ga0372762	1468779	1468779	1987575.0	73.89804158333648	73.89804158333648
bom_apis_melli	Ga0216357	1465961	1465961	1899972.0	77.15697915548229	77.15697915548229
bom_bombus	Ga0308518	1469659	1469659	2023176.0	72.6411839602684	72.6411839602684
com_1	D9V35	1356333	1359890	2023834.0	67.19375205673983	67.01799653528896
com_drosophila	CIN	1348848	1348848	2454778.0	54.94786086562614	54.94786086562614
com_monarch	Ga0248239	1365156	1365156	2354868.0	57.97165701007445	57.97165701007445
firm4_1	Ga0326456	921880	936319	2152631.0	43.49649336091508	42.82573278931689
firm4_2	Ga0072399	937387	940639	1786090.0	52.664703346415905	52.48262965472065
firm5_1	Ga0133563	776139	779401	1683102.0	46.30741333561483	46.113604523077036
firm5_2	Ga0133561	774717	779455	1867232.0	41.74387542629947	41.490130846086615
firm5_3	Ga0133562	773765	779538	2036181.0	38.28431755330199	38.000796589301245
firm5_4	Ga0133564	761644	779187	2018944.0	38.59378962467508	37.72487003106574
firm5_7	Ga0312303	777379	779023	1934772.0	40.26433088756711	40.17935963514047
firm5_bombus_1	Ga0226852	776776	776776	1634415.0	47.526240275572604	47.526240275572604
firm5_bombus_2	Ga0226847	777357	778201	1686321.0	46.14785678408796	46.097807001158145
fper_1	Ga0077910	1810235	1851910	2692351.0	68.7841221296926	67.23621845740024
gilli_1	GAPWK	702718	715151	3139412.0	22.779775320983674	22.383745746018683
gilli_2	Ga0133555	652200	717689	2430778.0	29.525073865239854	26.830915863151635
gilli_3	Ga0133557	710078	717699	3086198.0	23.255118433749228	23.008180291737602
gilli_4	Ga0307802	664816	719554	2754041.0	26.12720725653685	24.13965514674618
gilli_5	Ga0307800	718323	718323	2809609.0	25.566653580622784	25.566653580622784
gilli_6	Ga0307803	717251	717251	2404493.0	29.829614808610383	29.829614808610383
gilli_apis_andre	A9G03	716932	716932	2670926.0	26.842076493321045	26.842076493321045
gilli_apis_dorsa	A9G13	714660	717193	2369030.0	30.273698517958824	30.166777119749433
gilli_bombus	Ga0227302	585887	719688	2377324.0	30.27302967538291	24.64481071995235
lkun	Ga0098617	1010447	1020693	1535542.0	66.47118737227636	65.80393112008659
snod_1	SALWKB2	963194	981851	2527978.0	38.83938072245881	38.10136005930431
snod_2	BHC53	981422	982000	2321012.0	42.30913067231018	42.28422774203666
snod_bombus	SALWKB12	952866	979307	2438497.0	40.16027085536706	39.07595539383481
